# 句子练习例句。一行一句： 单词 | 英文句子 | 中文（可空，留空就写 -）
# 这是 _build_sents.py pick 生成的初稿，改完跑 inject。
# 挖空是 inject 时按「单词」那一列自动做的，别在句子里自己写 ___。
diffuse | Layla tried to diffuse the situation. | -
digest | Goat milk is easy for the body to digest. | -
dignity | It is beneath my dignity to ask a favor. | -
dilemma | Never in his life had he encountered such a dilemma. | -
diligent | A diligent man will succeed in the long run. | -
dilute | Can I use this solvent to dilute my sample? | -
dim | Do not read books in such a dim room. | -
dimension | That adds a new dimension to our problem. | -
diminish | To say so should not diminish his importance. | -
dine | I have an appointment to dine with him. | -
diploma | The principal presented each of the graduates with diploma. | -
diplomat | Kim means to be a diplomat in the future. | -
directory | You can find her phone number in the directory. | -
disable | I wish I could figure out how to disable comments on my blog. | -
disaster | We will first ascertain the cause of the disaster. | -
disastrous | If you left now, it would have disastrous consequences. | -
discard | We do not want to discard the article but reshape it. | -
discern | Comedy too can sometimes discern what is right. | -
discharge | I have a discharge from my left ear. | -
discipline | It goes without saying military discipline is literally rigid. | -
disclose | She will have the courage to disclose their secret. | -
discount | Honesty seems to be rather at a discount today. | -
discreet | To do him justice, he is a discreet man. | -
discrepancy | Please report discrepancy in data. | -
discrete | Every march is composed of discrete steps. | -
discriminate | We must be able to discriminate between objects and situations. | -
disease | The doctor can cure your son of the disease. | -
disguise | I was very surprised to find him in disguise. | -
disgust | Her face reflects disgust and sadness, rather than anger. | -
dismay | To my dismay, he was caught cheating in the examination. | -
dismiss | I didn't want to dismiss it out of hand. | -
disorder | The desk is in a state of total disorder. | -
dispatch | Sami worked for an ambulance dispatch company. | -
disperse | The children blow dandelions to see the seeds disperse on the wind. | -
displace | The growing power of the new mercantile aristocracy was beginning to displace the medieval nobility's control. | -
display | His latest works are on display at the square. | -
disposal | The students have an excellent gym at their disposal. | -
dispose | We have to dispose of the land. | -
disposition | Tom is blessed with a cheerful disposition. | -
disregard | She continued to see him in disregard of my advice. | -
disrupt | He was careful not to disrupt the meeting. | -
dissipate | The crowd began to dissipate. | -
distill | Now we will distill this water. | -
distinct | Your way of thinking is quite distinct from mine. | -
distinguish | It is hard to distinguish you from your brother. | -
distort | A true scientist would not distort facts. | -
distract | Dan started an argument with the cashier to distract security. | -
distribution | They argue that the distribution of wealth should be equitable. | -
disturbance | Is this a servo or a disturbance-rejection problem? | -
diverse | This place used to be much more linguistically diverse. | -
diversion | Movies are a great diversion. | -
divert | I tried to divert their attention without success. | -
divine | Moses came down from the mountain bearing divine commandments. | -
divorce | He is as cool as ever after his divorce. | -
dizzy | Tom said he was starting to get very dizzy. | -
dock | The ship is now in dock for a refit. | -
doctrine | That doctrine will no doubt lead to dismal consequences. | -
dodge | On his bicycle he can dodge through traffic with amazing speed. | -
dole | Dole out your wisdom a little at a time. | -
dolphin | I miss that television show about a friendly dolphin. | -
domain | It's time for you to renew your domain name. | -
dome | Buckminster Fuller is famous for the geodesic dome. | -
domestic | Smoking is now banned on all domestic plane flights. | -
dominant | The union exerts a dominant influence on the conservative party. | -
dominate | Don't let that man dominate you. | -
donate | Tom's decided to donate his body to medical science. | -
donation | Thank you very much for your generous donation. | -
doom | Those gloom and doom economists aren't worth their salt. | -
doubtless | You are doubtless aware of his absence. | -
draft | Mayuko made a fair copy of the draft. | -
drag | This looks as though it will drag on and on. | -
drain | Excess water went down the drain to the sewage. | -
drainage | Inadequate drainage can lead to flooding. | -
dramatic | Don't take that dramatic attitude all of a sudden. | -
drastic | Electing this mayor proved to be a drastic mistake. | -
drawback | Brilliant people have one major drawback - they don't know how to lose. | -
dread | He is in constant dread of his father. | -
dreadful | I had a feeling that something dreadful was happening. | -
drill | Make a hole in the bone with a drill. | -
drought | The drought has done great harm to the crops. | -
dual | Arnold is concerned with cases of dual personality. | -
dub | Ah, if you can dub it, can I ask for a copy as well? | -
dubious | Students are expected to stay away from dubious places. | -
duplicate | He had a duplicate key made from that one. | -
dwarf | I was a dwarf compared with my hostesses. | -
dwell | I will not dwell any longer upon this subject. | -
eagle | The bird was half as large as an eagle. | -
Easter | Today the church around the world is celebrating Easter. | -
eccentric | Many scientists have the reputation of being eccentric. | -
eclipse | An eclipse of the sun is a rare appearance. | -
ecology | Desert ecology is a new field of study. | -
economic | Japan ranks among the economic powers of the world. | -
economical | London was very important for economical and cultural reasons. | -
economy | Tourism is important to the economy of my country. | -
edible | Radioactive contamination was detected in spinach and edible chrysanthemum. | -
effective | Laughing is the most effective antidote to bad temper. | -
efficiency | He put forward a plan for improving office efficiency. | -
efficient | There is no denying that she is very efficient. | -
ego | Failing the exam was a blow to his ego. | -
eject | Press the small button to eject the CD from the computer. | -
elaborate | America has an elaborate system of constitutional checks and balances. | -
elastic | A rubber ball bounces because it is elastic. | -
electric | This machine is driven by a small electric motor. | -
electrical | Second-hand electrical equipment always shows signs of use. | -
electrician | Next week the electrician is coming to fix the wires. | -
electricity | This power station alone provides several cities with electricity. | -
electron | There is one electron in a hydrogen atom. | -
electronic | In recent years electronic computers have become increasingly important. | -
elegant | He fashioned an elegant pot out of clay. | -
element | Conformity is an essential element of our homogeneous community. | -
elementary | We used to play musical chairs in elementary school. | -
elevate | New truth and knowledge always elevate human life and most usually find practical application. | -
elicit | We plan to elicit opinions from the public. | -
eligible | Tom will be eligible for parole in five years. | -
eliminate | The plumbing has a water softener to eliminate lime. | -
elite | Fight back against the oppression of the ruling elite. | -
eloquent | We were deeply impressed by the lecturer's eloquent speech. | -
embark | He resolved to embark on a once-in-a-lifetime enterprise. | -
embarrass | Tom just doesn't want me to embarrass him. | -
embed | I wish I could figure out how to embed a YouTube video. | -
embody | It is hard to embody one's idea in an action. | -
emerge | The secret will emerge in due course of time. | -
emergency | You can always count on him in any emergency. | -
emotion | He showed no emotion hearing the bad news. | -
emphasis | We should not place too much emphasis on money. | -
emphasize | I want to emphasize this point in particular. | -
empirical | Grammar is an empirical science, not a theoretical one. | -
employment | Workers are taking a financial beating in the employment crisis. | -
enclosure | There are many kinds of animals inside this enclosure. | -
encounter | His encounter with her is enriching his inner life. | -
encourage | You often encourage me to be good and hardworking. | -
endeavor | We wish him all success in his future endeavor. | -
endurance | You need great endurance to run ten thousand meters. | -
endure | They had to endure great hardship during the war. | -
energetic | In those days, he was still strong and energetic. | -
enforce | Those who enforce the law must obey the law. | -
engage | I have no time to engage in political activity. | -
engagement | I am very happy to hear about your engagement. | -
engine | The people there made way for the fire engine. | -
enhance | Tom regularly feeds his chooks grit to enhance egg production. | -
enlighten | The ray of wisdom must enlighten new horizons. | -
enormous | There exists an enormous difference between the two theories. | -
enrich | Let us enrich ourselves with our mutual differences. | -
enroll | He was not allowed to enroll in the college. | -
ensue | Tears ensue, / and wailing, shrill as though her heart would bleed. | -
entail | The project will entail great expense upon the company. | -
entertainment | This is a movie which combines education with entertainment. | -
enthusiasm | He spoke with great enthusiasm of the theatrical performance. | -
enthusiastic | This book is a result of his enthusiastic research. | -
entitle | Your passport does not, in itself, entitle you to enter this country. | -
entity | The small retail outlet is only a front for a much larger entity. | -
entrepreneur | Scott is an entrepreneur with much spirit of enterprise. | -
environment | We are influenced both by environment and by heredity. | -
envisage | Can you envisage Tom working in a garage? | -
epoch | There have always been fashionable faces and expressions which marked an epoch. | -
equality | He was in favor of equality for all. | -
equator | The capital of the state is right on the equator. | -
equip | He wants to equip his son with a good education. | -
equivalent | A meter is not quite equivalent to a yard. | -
erect | Nobody intends to erect a wall. | -
erosion | Because of erosion, the trail is rocky and deep. | -
erroneous | He thought he could get away with his erroneous sentence. | -
erupt | Tom looked like a volcano about to erupt. | -
escort | I will serve you as an escort. | -
essence | Extract an essence from the bark of a tree. | -
essential | Fruits and vegetables are essential to a balanced diet. | -
establish | We hope to establish a closer relationship between us. | -
estimate | Try to estimate how much you spent on books. | -
eternal | Some people believe in eternal life after death. | -
ethnic | There is a difference between genocide and ethnic cleansing. | -
evaluate | The teacher had to evaluate all the students. | -
evidence | It follows from this evidence that she is innocent. | -
evident | It is evident that he has made a mistake. | -
evil | The evil spirit was driven away from the house. | -
evoke | This cuisine is seasoned to evoke the esprit of Paris. | -
evolution | There is much documented evidence to prove evolution. | -
exaggerate | It is impossible to exaggerate the importance of education. | -
exceed | Benefits of course should exceed the costs. | -
exception | We will make an exception of your case. | -
exceptional | The distributors are asking for an exceptional margin. | -
excess | Kindness in excess is too much of a good thing. | -
excessive | The excessive use of salt should be taboo. | -
exchange | It is a system of direct exchange of goods. | -
exclaim | Whenever Tom did poorly, his father would exclaim that it was an embarrassment to the family. | -
exclude | They decided to exclude him from their circle. | -
exclusive | Ann is exclusive in her choice of friends. | -
excursion | If it rains, the excursion will be called off. | -
execute | I want to execute the plan by all means. | -
execution | Before their execution, they were tortured savagely for months. | -
executive | The executive director is a real pushover for looks. | -
exempt | Israel is not exempt from abiding by international law. | -
exert | Your sense of humor is beginning to exert itself. | -
exhaust | Tom needs a new exhaust system for his car. | -
exhibit | Children exhibit a low tolerance for the frustrations of learning. | -
exile | No one shall be subjected to arbitrary arrest, detention or exile. | -
existence | This is how the great empire came into existence. | -
exotic | The girl has an exotic image of the boy. | -
expand | The blossoms expand under the influence of the weather. | -
expansion | Shareholders were concerned about the company's swift expansion overseas. | -
expedition | We encountered a lot of difficulties on the expedition. | -
expel | The elders decided to expel him from the village. | -
expend | According to the budget, she could expend no more on supplies. | -
expenditure | We should strike a balance between our expenditure and income. | -
expense | I paid the bill out of my expense account. | -
expert | He has become expert in hiding his true feeling. | -
expertise | We have a lot of expertise in this area. | -
expire | My driver's license will expire next week. | -
explicit | I gave you explicit instructions not to touch anything. | -
exploit | Each of us needs to fully exploit his potential. | -
explore | We need to explore all possible cures for cancer. | -
expose | We should sometimes expose our bodies to the sun. | -
exposition | I applied to be an attendant at the exposition. | -
expression | The teacher wore a harsh expression on his face. | -
exquisite | The tourists were fascinated with the exquisite scenery. | -
extensive | The server farm suffered extensive breakage after the earthquake. | -
extent | It was to a great extent his own fault. | -
external | The vagina meets the external organs at the vulva. | -
extinct | Even the human race will become extinct one day. | -
extinguish | The fireman could not extinguish the flames. | -
extract | Here is an extract to whet your appetite. | -
extraordinary | Call the police if you see any extraordinary situation. | -
extravagant | This diamond ring is too extravagant for me. | -
extreme | The soup-spoon is always on the extreme right. | -
fabric | I reached into the pile and felt soft fabric. | -
fabricate | That she could fabricate writings is certain, because she could write. | -
facet | A facet of genius is the ability to provoke scandals. | -
facilitate | Sami's responsibility is to facilitate the investigation. | -
factor | Honesty was the most important factor in his success. | -
faculty | He has a faculty for making other people happy. | -
faith | It was because she had faith in his capabilities. | -
fake | Most of the snow shown in films is fake. | -
famine | Because of the famine, the cattle starved to death. | -
fantastic | It would be fantastic if you could do that. | -
fantasy | Once in a while, the prophet indulges in fantasy. | -
fascinate | Blood and violence fascinate them. | -
fatal | The strong yen was a fatal blow to the company. | -
fatigue | He was pale with fatigue after his sleepless night. | -
feasible | That will likely become feasible with future technology. | -
feast | A feast like this is fit for a king! | -
feature | The principal feature of the conference is the buffet. | -
federal | Tom was sentenced to three years in federal prison. | -
federation | Chechnya is part of the Russian Federation. | -
feeble | A lonely boy was reading near a feeble fire. | -
fellowship | He longs for the fellowship of the rich. | -
feminine | She has a feminine insight into human behavior. | -
ferry | We had a rough crossing on an old ferry. | -
fertilizer | Use a fertilizer once a year after blooming. | -
fiction | The story of the lost prince was a fiction. | -
figure | A six-figure income is not uncommon for physicians. | -
finance | More students are interested in finance than in industry. | -
financial | Costs of financial services are rising in every country. | -
finite | We cannot have infinite growth on a finite planet. | -
fitting | Mary is in the fitting room trying on clothes. | -
fixture | She's a fixture at all the high-society parties. | -
flank | Use your squad to flank their position here. | -
flap | Birds flap their wings to fly. | -
flare | There was a flare-up between local residents and state regulators. | -
flask | Tom opened a desk drawer and pulled out a flask. | -
flat | The whole village was laid flat by the earthquake. | -
flatter | You don't need to flatter your boss. | -
flaw | I can't find a single flaw in her theory. | -
flexible | Gymnasts are among the most flexible of all athletes. | -
fling | Sami was having a fling with his secretary. | -
flip | Such a policy flip-flop was heavily criticized by his enemies. | -
float | He was the first man to float in space. | -
fluctuate | The budget is bound to fluctuate due to the economy. | -
flush | Those boys are in the first flush of youth. | -
flutter | The cherry blossoms flutter down whenever the wind blows. | -
foam | Tom put a foam pad under his sleeping bag. | -
focus | This chapter will focus on the concepts of geometry. | -
foil | This threatens to foil our plans. | -
fold | With great effort she managed to fold one more. | -
force | The dentist pulled out my decayed tooth by force. | -
foremost | I told it to my mother first and foremost. | -
foresee | Nobody can foresee when the war will end. | -
forge | The smith is working at his forge. | -
formal | We should write a formal letter to the director. | -
format | The manager wants the report rewritten using the new format. | -
formidable | No government can be long secure without formidable opposition. | -
formula | He had complete mastery over the necessary mathematics formula. | -
formulate | I cannot coherently formulate words without coffee. | -
fort | The chief massed his warriors to attack the fort. | -
forthcoming | Tom wasn't exactly forthcoming with an answer. | -
forum | I contribute to this forum almost every day. | -
fossil | I found this incredible fossil rolling in the surf. | -
foster | They did everything they could to foster good relations. | -
foul | Mary has been in a foul mood all week. | -
fraction | He did it in only a fraction of a second. | -
fracture | The pain of the compound fracture was almost unbearable. | -
fragile | These fragile items must be insured against all risks. | -
fragrance | This flower gives off a strong fragrance. | -
frantic | You did a lot of work in frantic haste. | -
fraud | Academic fraud is more common than you might think. | -
frequency | The frequency of crime in the town is high. | -
frequent | As a child, my daughter had frequent asthma attacks. | -
friction | So-called trade friction could be avoided some day. | -
fringe | The job comes with a lot of fringe benefits. | -
fuel | Millions of trees have been cut down for fuel. | -
fulfill | Dozens of people encouraged me to fulfill my ambitions. | -
function | The function of the machine is to save work. | -
fund | He went abroad to raise fund for the project. | -
fundamental | This book is fundamental for an understanding of biology. | -
furious | Tom is probably going to be furious about that. | -
furnish | It aims to furnish factories and homes with sophisticated robots. | -
furniture | There was a lot of furniture in the room. | -
furthermore | They rob, and furthermore cheat each other. | -
fury | The fury of the storm frightened the children. | -
fuse | Tom overloaded his power board and blew a fuse. | -
fusion | Jazz fusion is a combination of rock and jazz. | -
galaxy | Wormholes allow spaceships to travel throughout the galaxy. | -
gamble | He loves to gamble but generally loses. | -
garbage | This plastic garbage bag is free of hazardous chemicals. | -
garment | I wonder what materials the garment is made of. | -
gasp | Tom came up for a gasp of air. | -
gauge | This test will gauge your reading comprehension. | -
gaze | Her cool gaze made my heart skip a beat. | -
gear | Want of wit is worse than want of gear. | -
generalize | In general, people who generalize are imbeciles, but only in general. | -
generate | Nuclear power is used to generate electricity. | -
generous | You had better not play on his generous nature. | -
genetic | This disease is caused by a rare genetic mutation. | -
genuine | Investors must distinguish between genuine value creation and wishful thinking. | -
geology | Tom doesn't know the difference between geography and geology. | -
gigantic | The gigantic tornado plowed its way through the city. | -
giggle | She has a cute giggle. | -
given | At last the boy was given up for dead. | -
glamour | Do you think I can handle all that glamour? | -
glance | The two buses resemble each other at first glance. | -
gland | A tumor of the pituitary gland can cause hypopituitarism. | -
glare | In the end, her glare cowed him into submission. | -
gleam | We saw the gleam of a distant lighthouse. | -
glide | Tom watched the skaters glide across the ice. | -
glitter | The glitter of the sun hurts my eyes. | -
gloom | When you were a child you feared the gloom. | -
gloomy | I got gloomy and thought of giving up. | -
glow | Her cheeks began to glow at his compliments. | -
gorgeous | She must have been gorgeous when she was young. | -
gossip | I have no time to engage in gossip. | -
gown | Mary wore a beautiful evening gown to the party. | -
gracious | The queen was gracious enough to invite us. | -
graduate | My sister expects to graduate from college next year. | -
grain | As usual the peasants are busy scattering grain seeds. | -
grant | God grant that you come home safe and sound. | -
graphic | Tom was a graphic designer before he became a teacher. | -
grave | The boy dug a grave for his dead pet. | -
graze | The sheep graze the grass in the field. | -
grease | That politician won't meet you unless you grease his palm. | -
grief | She tried to conceal her grief at the party. | -
grieve | I advised him not to grieve over the past. | -
grim | That evening tea was partaken of in a grim silence. | -
grin | Tom had a great big grin on his face. | -
grip | They got into the grip of ignorance and poverty. | -
groan | I'm tired of hearing you moan and groan. | -
groove | I am not in the groove today. | -
gross | The gross national product of our country is the second largest. | -
guarantee | Some companies guarantee their workers a job for life. | -
guardian | Never drive faster than your guardian angel can fly. | -
hamper | Tom tossed his dirty clothes in the hamper. | -
handbook | This is a good handbook. | -
handicap | She seems to be laboring under the family handicap. | -
hardy | Hardy young people like mountaineering. | -
harmony | The beauty of the music consists of its harmony. | -
hasty | There is no need to draw a hasty conclusion. | -
hatch | The hen sits on her eggs until they hatch. | -
hatred | There is still serious racial hatred against black people. | -
haul | We're in this for the long haul. | -
haunt | My past indiscretions are coming back to haunt me. | -
hawk | The bird was half the size of a hawk. | -
hazard | A pot belly is an occupational hazard for office workers. | -
heap | Fan letters lay in a heap on the desk. | -
heave | This ship is outfitted with a windlass to heave up the anchor. | -
heel | He squashed the insect with the heel of his foot. | -
heir | Being an only child, he was the sole heir. | -
hemisphere | Those animals can be seen in the northern hemisphere. | -
henceforth | Officers will henceforth wear ties at dinner. | -
herb | The herb used in that pasta sauce might be parsley. | -
heritage | This building should be kept as a national heritage. | -
hesitate | Never hesitate to have time off whenever you want. | -
hierarchy | Japanese companies emphasize hierarchy. | -
highlight | The bioluminescent bay was the highlight of our trip. | -
hike | The hike will take no less than eight hours. | -
hinder | He didn't come to help, but to hinder us. | -
hinge | The hinge is broken. | -
historian | Tom is an art critic and historian. | -
hitherto | The history of all hitherto existing societies is the history of class struggles. | -
hoist | Hoist your sail when the wind is fair. | -
homogeneous | Conformity is an essential element of our homogeneous community. | -
hop | The galactic military used wormholes to hop around the universe. | -
hose | Layla put the fire out with a garden hose. | -
hospitality | I cannot thank you too much for your hospitality. | -
hostage | Many innocent people were saved from the hostage takers. | -
hostile | She was aware of their hostile feelings toward her. | -
hound | Spring over the ground like a hunting hound. | -
household | Sony is a household name all over the world. | -
hover | Helicopter parents are parents that hover over their children like helicopters. | -
howl | His voice was drowned out by the wraith's sudden howl. | -
huddle | Penguins often huddle together to keep warm. | -
hug | I want you to give each other a hug. | -
hum | A melody is not merely something you can hum. | -
humanity | I feel a great love for all of humanity. | -
humble | The humble man is getting along with his neighbors. | -
humidity | You can use a psychrometer to measure relative humidity. | -
hurl | I hoped you could hurl some lumens into the gloom. | -
hurricane | The pier took a real beating from the hurricane. | -
hypothesis | The hypothesis is based on the thorough experiments. | -
hysterical | Sami was hysterical enough to be sedated. | -
ideal | Stark inequality is also corrosive to our democratic ideal. | -
identical | Women are interchangeable instruments for a constantly identical pleasure. | -
identification | A passport is a valid form of identification. | -
identify | The elderly women can identify with her life experience. | -
ideology | The crisis could start a revolution in economic ideology. | -
idiom | "Time is gold" a true idiom. | -
idiot | This idiot is out of your life for ever. | -
ignite | I ignite the stove. | -
ignore | Tom was trying to ignore what was going on. | -
illegal | The minister was in a fix over illegal dealings. | -
illuminate | I use a flashlight to illuminate dark areas. | -
illusion | He had the illusion that he was a genius. | -
illustrate | Everyone can feed the database to illustrate new vocabulary. | -
imaginary | All the events described in this story are imaginary. | -
imaginative | You have an imaginative, artistic and pretty romantic personality. | -
imitate | If something is fashionable, everyone wants to imitate it. | -
imitation | On examination the jewel proved to be an imitation. | -
immerse | You need to immerse yourself into their culture to master their language. | -
immigrant | She married a fellow immigrant and had a son. | -
immune | Tom is likely to be immune to that disease. | -
impact | The storm had a bad impact on the crops. | -
impair | Hormones impair one's judgment. | -
impart | He wants to impart his wisdom to you. | -
impatient | Students are impatient for the summer holidays to come. | -
imperative | It is imperative for you to act at once. | -
imperial | In the imperial measurement system, four quarts equals one gallon. | -
impetus | He did everything with great impetus. | -
implement | That tractor implement makes burrows in the field. | -
implication | Her implication in the crime was obvious. | -
implicit | We had an implicit agreement that we would support each other. | -
imply | I'm not trying to imply anything of the kind. | -
impose | We should not impose our opinions on other people. | -
impulse | He told his wife not to buy on impulse. | -
incentive | We lack an incentive for pursuing the eastern market. | -
incidence | According to this figure, the reflection angle equals the incidence angle. | -
incident | This was third school shooting incident in six months. | -
incidentally | Incidentally, I have to tell you something. | -
incline | Say hello to my incline treadmill. | -
inclusive | The atmosphere in that workplace is not very inclusive. | -
incredible | This huge dam is an incredible feat of construction. | -
incur | You do not want to incur the wrath of God. | -
indefinite | The union went out on a strike for an indefinite period. | -
independence | The colony declared independence and became a republic. | -
indicative | Macedonian has four verbal moods: indicative, conditional, imperative, and renarrative. | -
indifferent | He is indifferent to the suffering of others. | -
indignant | I am indignant about the way he treated me. | -
indignation | I could barely contain my indignation at her impudence. | -
indispensable | Sleep and good food are indispensable to good health. | -
individual | The old doctor gave individual attention to each patient. | -
induce | Nothing could induce him to change his mind. | -
indulge | Father was generous enough to indulge my every whim. | -
industrial | Local finance are bankrolling the industrial promotion program. | -
inertia | Never underestimate the power of inertia. | -
inevitable | It is inevitable that some changes will take place. | -
infant | The infant has been exposed to radioactive rays. | -
infectious | The infectious case was isolated from other patients. | -
inferior | This machine is inferior to that one in durability. | -
infinite | The number of stars in the sky is infinite. | -
inflict | You should not inflict any injury on others on any account. | -
ingenious | The ingenious boy won a prize for his invention. | -
ingredient | Clay is the essential ingredient in making pottery. | -
inhabit | Those tribes inhabit the desert all year round. | -
inhabitant | Sami is the only inhabitant of the island. | -
inherent | The instinct for survival is inherent in every living thing. | -
inherit | Tom wishes for his son to inherit his estate. | -
inhibit | He noticed that this drug seemed to inhibit bacterial growth. | -
initial | The initial symptoms of the disease are fever and sore throat. | -
initiate | To initiate the quest, first go to the tavern and talk to the quest-giver. | -
initiative | The city took the initiative in the pollution suit. | -
inject | She was trying to inject some fun into the grim proceedings. | -
inland | Almost every night clouds develop over the ocean and move inland. | -
innovation | Open source is the engine that drives technological innovation. | -
innumerable | I have tried innumerable times to contact him. | -
input | The input method also works with this version. | -
insane | Society is an insane asylum run by the inmates. | -
insect | You should try not to scratch your insect bites. | -
insert | Please insert a word or phrase. | -
insight | This poem calls for great insight from the reader. | -
insist | You insist upon our taking that course of action. | -
inspiration | They had good flashes of inspiration about this plan. | -
inspire | Asian religions inspire him to create splendid sculptures. | -
install | The man tried to install his own antenna. | -
installment | I'll be all paid up after one more installment. | -
instance | Birds, for instance, have a special protective device. | -
instantaneous | Lightning is nearly instantaneous. | -
instinct | There is no instinct like that of the heart. | -
institute | Sami teaches translation techniques at a renowned translation institute. | -
institution | Tom was committed to an institution for the insane. | -
instruct | Please instruct the patient to visit a clinician. | -
instrument | Tom is playing a string instrument of some sort. | -
instrumental | I like vocal music better than instrumental music. | -
insulate | You'll end up getting an electric shock if you don't insulate that wire. | -
insurance | He claimed on the insurance after his car accident. | -
intact | The buildings were still intact after the flood. | -
integral | Death is an integral part of life. | -
integrity | He has a fabulous reputation for his high integrity. | -
intellect | Health and intellect are the two blessings of life. | -
intellectual | Esperanto helped me broaden my intellectual and cultural horizons. | -
intelligent | Jack is the most intelligent boy in the class. | -
intelligible | The meaning of the words is intelligible. | -
intense | Due to the intense sunlight, his back was sunburnt. | -
intensify | It is unavoidable that the fighting will intensify. | -
intensive | Extensive reading is as important as intensive reading. | -
intent | The child did not intent to break your arm. | -
interact | Tom seems to be unable to interact normally with other people. | -
interaction | Social interaction is the very foundation of social life. | -
intercourse | They lost some symbols of social intercourse. | -
interfere | He has no intention to interfere with your business. | -
interim | Tom has been named interim head coach. | -
intermittent | Tom is doing intermittent fasting to lose weight. | -
internal | We dissected a frog to examine its internal organs. | -
interpret | Only an artist can interpret the meaning of life. | -
interrupt | I figured it was better not to interrupt you. | -
intersection | Please slow down when getting close to the intersection. | -
intervene | Maybe the village elders will intervene to reconcile them. | -
intimate | The two boys became intimate friends at the camp. | -
intimidate | Some guy was trying to intimidate me. | -
intricate | I can see some intricate patterns in the picture. | -
intrigue | He watches for an opportunity to intrigue against his rival. | -
intrinsic | This celebration is an intrinsic part of the culture of our country. | -
intuition | We put too much faith in our intuition. | -
invalid | From tomorrow this email address will be invalid. | -
invaluable | The dictionary is an invaluable tool for learning languages. | -
invariably | Mary invariably brought more food than she could eat. | -
inventory | Tom rearranged the items in his inventory to make more space. | -
invert | It might help if you invert the colours. | -
invest | My recommendation is that you invest in government bonds. | -
investigate | You should investigate the fact from a medical viewpoint. | -
invisible | Intellect is invisible to the man who has none. | -
involve | I asked you not to involve me in this. | -
irony | There was a touch of irony in his speech. | -
irrespective | I must go there irrespective of what you think. | -
irrigation | Sami's body was found in the irrigation canal. | -
irritate | The fact seemed to irritate her husband. | -
isle | They were marooned on a desert isle. | -
isolate | Maybe you can help us isolate the problem. | -
issue | Here the authors touch on the central methodological issue. | -
item | The first item he bought was an alarm clock. | -
ivory | Do you have any ivory crepe blouses in medium? | -
jeopardize | If you ignore the past, you jeopardize the future. | -
jerk | She dumped him because she thought he was a jerk. | -
jog | I make it a rule to jog every morning. | -
junction | The restaurant stands at the junction of two superhighways. | -
junk | Tom never used to eat so much junk food. | -
jury | She stood in the court before judge and jury. | -
keen | I am not keen on this kind of music. | -
kidnap | Sami tried to kidnap a mentally challenged woman. | -
kidney | Is she passing kidney stones in her urine? | -
kit | I have a first aid kit in my car. | -
knit | Layla grew up in a small close-knit town. | -
knob | Tom turned the knob and pushed the door open. | -
label | It says on the label to take two tablets. | -
lace | The world seen through the lace curtain was dark. | -
lame | That's a lame excuse for giving up the work. | -
lane | It is a long lane that has no turning. | -
lash | Don't lash out at me just because my brother treated you badly. | -
latent | There are many latent gays among rampant homophobes. | -
latitude | Please give me some latitude this time. | -
layer | This morning there was a thick layer of frost. | -
layman | Much legal language is obscure to a layman. | -
leaflet | This leaflet contains necessary information. | -
lease | Is there a clause in the lease regarding that? | -
leather | The leather jacket has worn out at the elbows. | -
legal | The lawyer recommended that his client take legal action. | -
legend | The last part of the legend was added later. | -
legislation | Existing legislation does not take diversity of races into account. | -
legitimate | The state has a monopoly on legitimate violence. | -
leisure | A friend to everybody is a friend to leisure. | -
lens | Tom found his contact lens near the table. | -
lever | They lifted the rock by means of a lever. | -
levy | The airport improvement levy seems higher than last year. | -
liability | He denies any liability for the damage caused. | -
liable | Those loved by many are liable to untimely death. | -
liberal | The publishers of that newspaper are very liberal. | -
lieutenant | I was a second lieutenant in the special forces. | -
likelihood | There is no likelihood of his getting well soon. | -
limb | I don't want to go out on a limb. | -
limitation | Rightness of limitation is essential for growth of reality. | -
limp | Tom has always walked with a slight limp. | -
linear | This system of linear equations has infinitely many solutions. | -
linen | He gave me a half dozen linen handkerchiefs. | -
liner | A luxury liner arrived in the harbor. | -
linger | Fadil didn't linger in the area. | -
literacy | This organisation promotes literacy in rural areas. | -
literal | He explained the literal meaning of the phrase. | -
literary | Reading literary criticism is very helpful to understanding literature. | -
literature | I am not as interested in literature as you. | -
litter | The public is requested not to litter in these woods. | -
locality | The locality does not count for much in Japan. | -
locomotive | The locomotive is at the end of the train. | -
lofty | That's to me like a flower on lofty heights. | -
logical | Esperanto is the most logical language in the world. | -
longevity | The secret of longevity is to choose your parents carefully. | -
loom | Many good grades will loom on the horizon. | -
lounge | We ate a quick lunch in a coffee lounge. | -
loyal | Tom is a famous restaurateur with a loyal following. | -
loyalty | It all comes down to a question of loyalty. | -
lubricate | Will you lubricate the car? | -
luggage | We loaded a lot of luggage into the car. | -
luminous | They all agreed that it was a huge creature, luminous, ghastly, and spectral. | -
lunar | A lunar month is shorter than a calendar month. | -
lure | I could not resist the lure of great profits. | -
luxury | She was brought up in the lap of luxury. | -
machinery | The factory decided to do away with the old machinery. | -
magistrate | Obscenity is whatever happens to shock some elderly and ignorant magistrate. | -
magnet | The students used a magnet in science class. | -
magnetic | So there is a magnetic field around earth. | -
magnificent | This hotel has a magnificent view of the sea. | -
magnify | You can use a magnifying glass to magnify small text. | -
magnitude | You need to understand the magnitude of the problem. | -
maintain | We should make every effort to maintain world peace. | -
majesty | He carries himself with the majesty of a king. | -
majority | The majority of the committee voted against the bill. | -
